,"Employment in Hurricane Storm Surge Flood Zones, Third Quarter 2019",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
723,Plymouth ,Massachusetts,Zone 3,187,1709,19674614
724,Plymouth ,Massachusetts,Zone 4,349,4599,43392873
725,Plymouth ,Massachusetts,Total Affected,1167,11724,111967694
726,Plymouth ,Massachusetts,Unaffected,15440,185577,2544947200
727,Suffolk ,Massachusetts,Zone 1,1167,44671,808092952
728,Suffolk ,Massachusetts,Zone 2,9265,245091,5734769112
729,Suffolk ,Massachusetts,Zone 3,47,342,3413245
730,Suffolk ,Massachusetts,Zone 4,1651,49742,1338317590
731,Suffolk ,Massachusetts,Total Affected,12130,339847,7884592899
732,Suffolk ,Massachusetts,Unaffected,19950,362077,8392502759
733,Statewide,Mississippi,Zone 1,315,15047,166618400
734,Statewide,Mississippi,Zone 2,1056,27757,325449255
735,Statewide,Mississippi,Zone 3,1982,31751,331406921
736,Statewide,Mississippi,Zone 4,2538,41991,375861411
737,Statewide,Mississippi,Total Affected,5891,116546,1199335987
738,Statewide,Mississippi,Unaffected,68661,1016042,10110581920
739,Hancock ,Mississippi,Zone 1,(1),(1),(1)
740,Hancock ,Mississippi,Zone 2,(1),(1),(1)
741,Hancock ,Mississippi,Zone 3,(1),(1),(1)
742,Hancock ,Mississippi,Zone 4,(1),(1),(1)
743,Hancock ,Mississippi,Total Affected,530,7058,65012079
744,Hancock ,Mississippi,Unaffected,355,6594,101000155
745,Harrison ,Mississippi,Zone 1,182,10474,80040288
746,Harrison ,Mississippi,Zone 2,372,7928,63595691
747,Harrison ,Mississippi,Zone 3,833,15908,175465855
748,Harrison ,Mississippi,Zone 4,1899,33120,297054453
749,Harrison ,Mississippi,Total Affected,3286,67430,616156287
750,Harrison ,Mississippi,Unaffected,1326,19986,203960333
751,Jackson ,Mississippi,Zone 1,82,3512,75972945
752,Jackson ,Mississippi,Zone 2,531,17272,236919246
753,Jackson ,Mississippi,Zone 3,840,12516,127068236
754,Jackson ,Mississippi,Zone 4,622,8758,78207194
755,Jackson ,Mississippi,Total Affected,2075,42058,518167621
756,Jackson ,Mississippi,Unaffected,383,5958,68522056
757,Statewide,New Hampshire,Zone 1,35,270,3006862
758,Statewide,New Hampshire,Zone 2,86,945,9809132
759,Statewide,New Hampshire,Zone 3,99,932,11806924
760,Statewide,New Hampshire,Zone 4,161,1530,15824690
761,Statewide,New Hampshire,Total Affected,381,3676,40447608
762,Statewide,New Hampshire,Unaffected,53841,664680,9298830340
763,Rockingham ,New Hampshire,Zone 1,32,251,2861541
764,Rockingham ,New Hampshire,Zone 2,81,907,9560029
765,Rockingham ,New Hampshire,Zone 3,95,892,11506922
766,Rockingham ,New Hampshire,Zone 4,160,1528,15780122
767,Rockingham ,New Hampshire,Total Affected,368,3578,39708614
768,Rockingham ,New Hampshire,Unaffected,10814,149514,2045743025
769,Strafford ,New Hampshire,Zone 1,(1),(1),(1)
770,Strafford ,New Hampshire,Zone 2,(1),(1),(1)
771,Strafford ,New Hampshire,Zone 3,(1),(1),(1)
772,Strafford ,New Hampshire,Zone 4,(1),(1),(1)
773,Strafford ,New Hampshire,Total Affected,(1),(1),(1)
774,Strafford ,New Hampshire,Unaffected,(1),(1),(1)
775,Statewide,New Jersey,Zone 1,9861,233516,4476024020
776,Statewide,New Jersey,Zone 2,8019,161124,2186768029
777,Statewide,New Jersey,Zone 3,6146,122775,1638945784
778,Statewide,New Jersey,Zone 4,8766,135259,1943879645
779,Statewide,New Jersey,Total Affected,32792,652674,10245617478
780,Statewide,New Jersey,Unaffected,245306,3387428,53652409581
781,Atlantic ,New Jersey,Zone 1,695,17028,201587611
782,Atlantic ,New Jersey,Zone 2,947,32643,361271227
783,Atlantic ,New Jersey,Zone 3,367,9897,94502178
784,Atlantic ,New Jersey,Zone 4,549,8177,92107218
785,Atlantic ,New Jersey,Total Affected,2558,67745,749468234
786,Atlantic ,New Jersey,Unaffected,4013,63115,742665118
787,Bergen ,New Jersey,Zone 1,1474,31667,505313724
788,Bergen ,New Jersey,Zone 2,1583,36044,550620245
789,Bergen ,New Jersey,Zone 3,643,9406,216247517
790,Bergen ,New Jersey,Zone 4,1858,26529,434566115
791,Bergen ,New Jersey,Total Affected,5558,103646,1706747601
792,Bergen ,New Jersey,Unaffected,27907,334681,5348824651
793,Burlington ,New Jersey,Zone 1,(1),(1),(1)
794,Burlington ,New Jersey,Zone 2,(1),(1),(1)
795,Burlington ,New Jersey,Zone 3,(1),(1),(1)
796,Burlington ,New Jersey,Zone 4,(1),(1),(1)
797,Burlington ,New Jersey,Total Affected,149,2954,40548475
798,Burlington ,New Jersey,Unaffected,10963,195986,2792698960
799,Camden ,New Jersey,Zone 1,(1),(1),(1)
800,Camden ,New Jersey,Zone 2,(1),(1),(1)
801,Camden ,New Jersey,Zone 3,(1),(1),(1)
802,Camden ,New Jersey,Zone 4,(1),(1),(1)
803,Camden ,New Jersey,Total Affected,130,3587,56725393
804,Camden ,New Jersey,Unaffected,12027,197504,2656451445
805,Cape May ,New Jersey,Zone 1,1532,19202,148922829
806,Cape May ,New Jersey,Zone 2,776,12270,119271284
807,Cape May ,New Jersey,Zone 3,561,9074,86205659
808,Cape May ,New Jersey,Zone 4,482,5327,51638123
809,Cape May ,New Jersey,Total Affected,3351,45874,406037895
810,Cape May ,New Jersey,Unaffected,565,6769,70653490
811,Cumberland ,New Jersey,Zone 1,75,2875,40006318
812,Cumberland ,New Jersey,Zone 2,77,962,8573317
813,Cumberland ,New Jersey,Zone 3,107,1583,15248449
814,Cumberland ,New Jersey,Zone 4,82,1509,14911481
815,Cumberland ,New Jersey,Total Affected,341,6929,78739565
816,Cumberland ,New Jersey,Unaffected,2853,50963,592142364
817,Essex ,New Jersey,Zone 1,157,23402,516992746
818,Essex ,New Jersey,Zone 2,905,14467,252360550
819,Essex ,New Jersey,Zone 3,528,14838,181088630
820,Essex ,New Jersey,Zone 4,699,11037,159406418
821,Essex ,New Jersey,Total Affected,2289,63745,1109848344
822,Essex ,New Jersey,Unaffected,18586,273364,4719858384
823,Gloucester ,New Jersey,Zone 1,(1),(1),(1)
824,Gloucester ,New Jersey,Zone 2,(1),(1),(1)
825,Gloucester ,New Jersey,Zone 3,(1),(1),(1)
826,Gloucester ,New Jersey,Zone 4,(1),(1),(1)
827,Gloucester ,New Jersey,Total Affected,350,8706,131021147
828,Gloucester ,New Jersey,Unaffected,6068,102402,1154704931
829,Hudson ,New Jersey,Zone 1,3820,107122,2599926208
830,Hudson ,New Jersey,Zone 2,1436,24842,367529557
831,Hudson ,New Jersey,Zone 3,689,14469,208880604
832,Hudson ,New Jersey,Zone 4,769,17305,351715196
833,Hudson ,New Jersey,Total Affected,6714,163738,3528051565
834,Hudson ,New Jersey,Unaffected,8671,99536,1209307274
835,Middlesex ,New Jersey,Zone 1,94,2493,38454269
836,Middlesex ,New Jersey,Zone 2,346,13357,156773584
837,Middlesex ,New Jersey,Zone 3,600,19784,306672948
838,Middlesex ,New Jersey,Zone 4,931,21302,276061446
839,Middlesex ,New Jersey,Total Affected,1971,56935,777962247
840,Middlesex ,New Jersey,Unaffected,20689,365704,5900798927
841,Monmouth ,New Jersey,Zone 1,590,6185,61657180
842,Monmouth ,New Jersey,Zone 2,690,7914,87683605
843,Monmouth ,New Jersey,Zone 3,1009,15795,236496552
844,Monmouth ,New Jersey,Zone 4,1009,9594,104230551
845,Monmouth ,New Jersey,Total Affected,3298,39488,490067888
846,Monmouth ,New Jersey,Unaffected,17127,226792,3081797589
847,Ocean ,New Jersey,Zone 1,1024,11167,95230492
848,Ocean ,New Jersey,Zone 2,728,7049,62156054
849,Ocean ,New Jersey,Zone 3,885,11844,124520082
850,Ocean ,New Jersey,Zone 4,904,8846,80699846
851,Ocean ,New Jersey,Total Affected,3541,38906,362606474
852,Ocean ,New Jersey,Unaffected,10229,136315,1572761555
853,Passaic ,New Jersey,Zone 1,(1),(1),(1)
854,Passaic ,New Jersey,Zone 2,(1),(1),(1)
855,Passaic ,New Jersey,Zone 3,(1),(1),(1)
856,Passaic ,New Jersey,Zone 4,(1),(1),(1)
857,Passaic ,New Jersey,Total Affected,93,3054,43010440
858,Passaic ,New Jersey,Unaffected,12543,158620,2069993429
859,Salem ,New Jersey,Zone 1,100,2938,72259019
860,Salem ,New Jersey,Zone 2,238,2576,31261411
861,Salem ,New Jersey,Zone 3,225,3402,30296673
862,Salem ,New Jersey,Zone 4,109,1553,21555414
863,Salem ,New Jersey,Total Affected,672,10469,155372517
864,Salem ,New Jersey,Unaffected,645,9762,119058669
865,Union ,New Jersey,Zone 1,259,8982,188160328
866,Union ,New Jersey,Zone 2,230,7357,168259378
867,Union ,New Jersey,Zone 3,407,8975,86788857
868,Union ,New Jersey,Zone 4,881,11584,166201130
869,Union ,New Jersey,Total Affected,1777,36899,609409693
870,Union ,New Jersey,Unaffected,12906,185554,3068839670
871,Statewide,New York,Zone 1,17773,380121,8302189089
872,Statewide,New York,Zone 2,26469,426026,7119863584
873,Statewide,New York,Zone 3,23631,335661,5562854188
874,Statewide,New York,Zone 4,22597,331159,5040188987
875,Statewide,New York,Total Affected,90470,1472966,26025095848
876,Statewide,New York,Unaffected,560503,8018113,136131334695
877,Bronx ,New York,Zone 1,286,6387,97120288
878,Bronx ,New York,Zone 2,475,13096,222341741
879,Bronx ,New York,Zone 3,884,20911,277015172
880,Bronx ,New York,Zone 4,1447,29275,394530975
881,Bronx ,New York,Total Affected,3092,69668,991008176
882,Bronx ,New York,Unaffected,15711,251440,3729135855
883,Kings ,New York,Zone 1,5323,79222,963320259
884,Kings ,New York,Zone 2,7687,103032,1214811002
885,Kings ,New York,Zone 3,5653,60432,735694896
886,Kings ,New York,Zone 4,5731,69530,865723899
887,Kings ,New York,Total Affected,24394,312216,3779550056
888,Kings ,New York,Unaffected,38664,477089,6003284433
889,Nassau ,New York,Zone 1,3316,27368,367673840
890,Nassau ,New York,Zone 2,4180,39652,445301047
891,Nassau ,New York,Zone 3,4409,48811,563695555
892,Nassau ,New York,Zone 4,3158,27270,304017002
893,Nassau ,New York,Total Affected,15063,143101,1680687444
894,Nassau ,New York,Unaffected,38260,478020,7699273029
895,New York ,New York,Zone 1,5439,210737,6125406591
896,New York ,New York,Zone 2,7261,148162,3401593337
897,New York ,New York,Zone 3,6513,118779,2793735990
898,New York ,New York,Zone 4,6342,107346,2115068781
899,New York ,New York,Total Affected,25555,585023,14435804699
900,New York ,New York,Unaffected,100302,1929594,52746427451
901,Queens ,New York,Zone 1,1703,31278,411012837
902,Queens ,New York,Zone 2,3539,80157,1272271765
903,Queens ,New York,Zone 3,2377,41237,596566579
904,Queens ,New York,Zone 4,2399,61538,908170654
905,Queens ,New York,Total Affected,10018,214209,3188021835
906,Queens ,New York,Unaffected,42772,501550,6820484588
907,Richmond ,New York,Zone 1,608,12014,178649719
908,Richmond ,New York,Zone 2,657,14305,262500757
909,Richmond ,New York,Zone 3,653,7213,90627637
910,Richmond ,New York,Zone 4,469,6054,71231438
911,Richmond ,New York,Total Affected,2387,39586,603009551
912,Richmond ,New York,Unaffected,7461,87244,1091710847
913,Suffolk ,New York,Zone 1,841,8891,101588811
914,Suffolk ,New York,Zone 2,2211,21842,231332185
915,Suffolk ,New York,Zone 3,2635,32038,421665944
916,Suffolk ,New York,Zone 4,2573,24234,284383142
917,Suffolk ,New York,Total Affected,8260,87005,1038970082
918,Suffolk ,New York,Unaffected,44453,576967,8960353379
919,Westchester ,New York,Zone 1,257,4224,57416744
920,Westchester ,New York,Zone 2,459,5781,69711750
921,Westchester ,New York,Zone 3,507,6240,83852415
922,Westchester ,New York,Zone 4,478,5912,97063096
923,Westchester ,New York,Total Affected,1701,22157,308044005
924,Westchester ,New York,Unaffected,33767,402289,6906488929
925,Statewide,North Carolina,Zone 1,2264,22737,192469732
926,Statewide,North Carolina,Zone 2,2342,28309,249334618
927,Statewide,North Carolina,Zone 3,3010,34423,304331461
928,Statewide,North Carolina,Zone 4,3099,35687,342077590
929,Statewide,North Carolina,Total Affected,10715,121156,1088213401
930,Statewide,North Carolina,Unaffected,277032,4369247,55647818956
931,Beaufort ,North Carolina,Zone 1,163,1381,10600032
932,Beaufort ,North Carolina,Zone 2,177,1752,15285164
933,Beaufort ,North Carolina,Zone 3,345,4969,40079230
934,Beaufort ,North Carolina,Zone 4,155,2665,27689086
935,Beaufort ,North Carolina,Total Affected,840,10767,93653512
936,Beaufort ,North Carolina,Unaffected,347,4502,53562998
937,Bertie ,North Carolina,Zone 1,(1),(1),(1)
938,Bertie ,North Carolina,Zone 2,(1),(1),(1)
939,Bertie ,North Carolina,Zone 3,(1),(1),(1)
940,Bertie ,North Carolina,Zone 4,(1),(1),(1)
941,Bertie ,North Carolina,Total Affected,55,875,6909847
942,Bertie ,North Carolina,Unaffected,252,4729,40609066
943,Bladen ,North Carolina,Zone 1,0,0,0
944,Bladen ,North Carolina,Zone 2,0,0,0
945,Bladen ,North Carolina,Zone 3,0,0,0
946,Bladen ,North Carolina,Zone 4,0,0,0
947,Bladen ,North Carolina,Total Affected,0,0,0
948,Bladen ,North Carolina,Unaffected,613,13318,119539185
949,Brunswick ,North Carolina,Zone 1,54,572,4779941
950,Brunswick ,North Carolina,Zone 2,95,982,6501664
951,Brunswick ,North Carolina,Zone 3,182,1799,14394712
952,Brunswick ,North Carolina,Zone 4,326,2557,23072605
953,Brunswick ,North Carolina,Total Affected,657,5910,48748922
954,Brunswick ,North Carolina,Unaffected,2335,27787,280765805
955,Camden ,North Carolina,Zone 1,(1),(1),(1)
956,Camden ,North Carolina,Zone 2,(1),(1),(1)
957,Camden ,North Carolina,Zone 3,(1),(1),(1)
958,Camden ,North Carolina,Zone 4,(1),(1),(1)
959,Camden ,North Carolina,Total Affected,(1),(1),(1)
960,Camden ,North Carolina,Unaffected,(1),(1),(1)
961,Carteret ,North Carolina,Zone 1,255,2324,20067209
962,Carteret ,North Carolina,Zone 2,317,3202,27166598
963,Carteret ,North Carolina,Zone 3,298,2814,24229388
964,Carteret ,North Carolina,Zone 4,569,6121,50358298
965,Carteret ,North Carolina,Total Affected,1439,14461,121821493
966,Carteret ,North Carolina,Unaffected,856,9880,95551146
967,Chowan ,North Carolina,Zone 1,(1),(1),(1)
968,Chowan ,North Carolina,Zone 2,(1),(1),(1)
969,Chowan ,North Carolina,Zone 3,(1),(1),(1)
970,Chowan ,North Carolina,Zone 4,(1),(1),(1)
971,Chowan ,North Carolina,Total Affected,290,3627,33393614
972,Chowan ,North Carolina,Unaffected,84,905,8229994
973,Columbus ,North Carolina,Zone 1,0,0,0
974,Columbus ,North Carolina,Zone 2,0,0,0
975,Columbus ,North Carolina,Zone 3,0,0,0
976,Columbus ,North Carolina,Zone 4,0,0,0
977,Columbus ,North Carolina,Total Affected,0,0,0
978,Columbus ,North Carolina,Unaffected,1070,15492,134143451
979,Craven ,North Carolina,Zone 1,164,1759,19740867
980,Craven ,North Carolina,Zone 2,134,1437,13895488
981,Craven ,North Carolina,Zone 3,215,3958,39964662
982,Craven ,North Carolina,Zone 4,390,6161,60295618
983,Craven ,North Carolina,Total Affected,903,13315,133896635
984,Craven ,North Carolina,Unaffected,1403,26283,296038172
985,Currituck ,North Carolina,Zone 1,109,1018,8587173
986,Currituck ,North Carolina,Zone 2,191,2789,22798047
987,Currituck ,North Carolina,Zone 3,308,3177,27129199
988,Currituck ,North Carolina,Zone 4,64,504,4215181
989,Currituck ,North Carolina,Total Affected,672,7489,62729600
990,Currituck ,North Carolina,Unaffected,81,810,5979216
991,Dare ,North Carolina,Zone 1,574,4989,39566515
992,Dare ,North Carolina,Zone 2,491,7744,67698316
993,Dare ,North Carolina,Zone 3,546,5926,50846771
994,Dare ,North Carolina,Zone 4,109,1001,8767905
995,Dare ,North Carolina,Total Affected,1720,19660,166879507
996,Dare ,North Carolina,Unaffected,272,2853,26701868
997,Duplin ,North Carolina,Zone 1,(1),(1),(1)
998,Duplin ,North Carolina,Zone 2,(1),(1),(1)
999,Duplin ,North Carolina,Zone 3,(1),(1),(1)
1000,Duplin ,North Carolina,Zone 4,(1),(1),(1)
1001,Duplin ,North Carolina,Total Affected,(1),(1),(1)
1002,Duplin ,North Carolina,Unaffected,(1),(1),(1)
1003,Edgecombe ,North Carolina,Zone 1,0,0,0
1004,Edgecombe ,North Carolina,Zone 2,0,0,0
1005,Edgecombe ,North Carolina,Zone 3,0,0,0
1006,Edgecombe ,North Carolina,Zone 4,0,0,0
1007,Edgecombe ,North Carolina,Total Affected,0,0,0
1008,Edgecombe ,North Carolina,Unaffected,913,15674,143377599
1009,Gates ,North Carolina,Zone 1,(1),(1),(1)
1010,Gates ,North Carolina,Zone 2,(1),(1),(1)
1011,Gates ,North Carolina,Zone 3,(1),(1),(1)
1012,Gates ,North Carolina,Zone 4,(1),(1),(1)
1013,Gates ,North Carolina,Total Affected,36,440,4121060
1014,Gates ,North Carolina,Unaffected,134,980,8541198
1015,Greene ,North Carolina,Zone 1,0,0,0
1016,Greene ,North Carolina,Zone 2,0,0,0
1017,Greene ,North Carolina,Zone 3,0,0,0
1018,Greene ,North Carolina,Zone 4,0,0,0
1019,Greene ,North Carolina,Total Affected,0,0,0
1020,Greene ,North Carolina,Unaffected,327,4106,37369970
1021,Halifax ,North Carolina,Zone 1,0,0,0
1022,Halifax ,North Carolina,Zone 2,0,0,0
1023,Halifax ,North Carolina,Zone 3,0,0,0
1024,Halifax ,North Carolina,Zone 4,0,0,0
1025,Halifax ,North Carolina,Total Affected,0,0,0
1026,Halifax ,North Carolina,Unaffected,991,15462,135120482
1027,Hertford ,North Carolina,Zone 1,(1),(1),(1)
1028,Hertford ,North Carolina,Zone 2,(1),(1),(1)
1029,Hertford ,North Carolina,Zone 3,(1),(1),(1)
1030,Hertford ,North Carolina,Zone 4,(1),(1),(1)
1031,Hertford ,North Carolina,Total Affected,(1),(1),(1)
1032,Hertford ,North Carolina,Unaffected,(1),(1),(1)
1033,Hyde ,North Carolina,Zone 1,(1),(1),(1)
1034,Hyde ,North Carolina,Zone 2,(1),(1),(1)
1035,Hyde ,North Carolina,Zone 3,(1),(1),(1)
1036,Hyde ,North Carolina,Zone 4,(1),(1),(1)
1037,Hyde ,North Carolina,Total Affected,189,1698,13246731
1038,Hyde ,North Carolina,Unaffected,26,319,3408275
1039,Jones ,North Carolina,Zone 1,(1),(1),(1)
1040,Jones ,North Carolina,Zone 2,(1),(1),(1)
1041,Jones ,North Carolina,Zone 3,(1),(1),(1)
1042,Jones ,North Carolina,Zone 4,(1),(1),(1)
1043,Jones ,North Carolina,Total Affected,36,223,2120161
1044,Jones ,North Carolina,Unaffected,165,1344,11268506
1045,Lenoir ,North Carolina,Zone 1,(1),(1),(1)
1046,Lenoir ,North Carolina,Zone 2,(1),(1),(1)
1047,Lenoir ,North Carolina,Zone 3,(1),(1),(1)
1048,Lenoir ,North Carolina,Zone 4,(1),(1),(1)
1049,Lenoir ,North Carolina,Total Affected,(1),(1),(1)
1050,Lenoir ,North Carolina,Unaffected,(1),(1),(1)
1051,Martin ,North Carolina,Zone 1,(1),(1),(1)
1052,Martin ,North Carolina,Zone 2,(1),(1),(1)
1053,Martin ,North Carolina,Zone 3,(1),(1),(1)
1054,Martin ,North Carolina,Zone 4,(1),(1),(1)
1055,Martin ,North Carolina,Total Affected,(1),(1),(1)
1056,Martin ,North Carolina,Unaffected,(1),(1),(1)
1057,New Hanover ,North Carolina,Zone 1,175,2347,18062217
