,"Employment in Hurricane Storm Surge Flood Zones, Third Quarter 2019",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
1058,New Hanover ,North Carolina,Zone 2,238,2645,21900735
1059,New Hanover ,North Carolina,Zone 3,320,2071,17576344
1060,New Hanover ,North Carolina,Zone 4,646,5845,67615755
1061,New Hanover ,North Carolina,Total Affected,1379,12908,125155051
1062,New Hanover ,North Carolina,Unaffected,7194,105574,1219752089
1063,Northampton ,North Carolina,Zone 1,(1),(1),(1)
1064,Northampton ,North Carolina,Zone 2,(1),(1),(1)
1065,Northampton ,North Carolina,Zone 3,(1),(1),(1)
1066,Northampton ,North Carolina,Zone 4,(1),(1),(1)
1067,Northampton ,North Carolina,Total Affected,(1),(1),(1)
1068,Northampton ,North Carolina,Unaffected,(1),(1),(1)
1069,Onslow ,North Carolina,Zone 1,140,1725,16113203
1070,Onslow ,North Carolina,Zone 2,41,235,1320180
1071,Onslow ,North Carolina,Zone 3,59,418,3030005
1072,Onslow ,North Carolina,Zone 4,227,3726,35435767
1073,Onslow ,North Carolina,Total Affected,467,6104,55899155
1074,Onslow ,North Carolina,Unaffected,2778,42144,374603873
1075,Pamlico ,North Carolina,Zone 1,40,207,1197068
1076,Pamlico ,North Carolina,Zone 2,52,501,3816635
1077,Pamlico ,North Carolina,Zone 3,87,970,7621079
1078,Pamlico ,North Carolina,Zone 4,27,461,3020000
1079,Pamlico ,North Carolina,Total Affected,206,2138,15654782
1080,Pamlico ,North Carolina,Unaffected,103,1349,11901627
1081,Pasquotank ,North Carolina,Zone 1,165,2254,20974617
1082,Pasquotank ,North Carolina,Zone 2,357,5040,52662507
1083,Pasquotank ,North Carolina,Zone 3,304,4934,48070719
1084,Pasquotank ,North Carolina,Zone 4,52,506,3515561
1085,Pasquotank ,North Carolina,Total Affected,878,12734,125223404
1086,Pasquotank ,North Carolina,Unaffected,112,2158,22564070
1087,Pender ,North Carolina,Zone 1,72,1126,8323959
1088,Pender ,North Carolina,Zone 2,62,447,2916073
1089,Pender ,North Carolina,Zone 3,47,324,2689214
1090,Pender ,North Carolina,Zone 4,67,243,2646571
1091,Pender ,North Carolina,Total Affected,248,2139,16575817
1092,Pender ,North Carolina,Unaffected,1092,10746,98864627
1093,Perquimans ,North Carolina,Zone 1,21,134,614947
1094,Perquimans ,North Carolina,Zone 2,27,214,2177578
1095,Perquimans ,North Carolina,Zone 3,102,955,9781149
1096,Perquimans ,North Carolina,Zone 4,64,545,4233252
1097,Perquimans ,North Carolina,Total Affected,214,1847,16806926
1098,Perquimans ,North Carolina,Unaffected,29,195,1446345
1099,Pitt ,North Carolina,Zone 1,(1),(1),(1)
1100,Pitt ,North Carolina,Zone 2,(1),(1),(1)
1101,Pitt ,North Carolina,Zone 3,(1),(1),(1)
1102,Pitt ,North Carolina,Zone 4,(1),(1),(1)
1103,Pitt ,North Carolina,Total Affected,37,314,2581212
1104,Pitt ,North Carolina,Unaffected,3783,76340,900628520
1105,Sampson ,North Carolina,Zone 1,0,0,0
1106,Sampson ,North Carolina,Zone 2,0,0,0
1107,Sampson ,North Carolina,Zone 3,0,0,0
1108,Sampson ,North Carolina,Zone 4,0,0,0
1109,Sampson ,North Carolina,Total Affected,0,0,0
1110,Sampson ,North Carolina,Unaffected,1175,17981,172619207
1111,Tyrrell ,North Carolina,Zone 1,(1),(1),(1)
1112,Tyrrell ,North Carolina,Zone 2,(1),(1),(1)
1113,Tyrrell ,North Carolina,Zone 3,(1),(1),(1)
1114,Tyrrell ,North Carolina,Zone 4,(1),(1),(1)
1115,Tyrrell ,North Carolina,Total Affected,(1),(1),(1)
1116,Tyrrell ,North Carolina,Unaffected,(1),(1),(1)
1117,Washington ,North Carolina,Zone 1,(1),(1),(1)
1118,Washington ,North Carolina,Zone 2,(1),(1),(1)
1119,Washington ,North Carolina,Zone 3,(1),(1),(1)
1120,Washington ,North Carolina,Zone 4,(1),(1),(1)
1121,Washington ,North Carolina,Total Affected,187,2492,24964890
1122,Washington ,North Carolina,Unaffected,53,634,7343457
1123,Statewide,Rhode Island,Zone 1,1508,17977,182060558
1124,Statewide,Rhode Island,Zone 2,789,8253,79824419
1125,Statewide,Rhode Island,Zone 3,0,0,0
1126,Statewide,Rhode Island,Zone 4,0,0,0
1127,Statewide,Rhode Island,Total Affected,2297,26230,261884977
1128,Statewide,Rhode Island,Unaffected,36564,461735,6022612888
1129,Bristol ,Rhode Island,Zone 1,332,2750,26614460
1130,Bristol ,Rhode Island,Zone 2,330,3194,32139580
1131,Bristol ,Rhode Island,Zone 3,0,0,0
1132,Bristol ,Rhode Island,Zone 4,0,0,0
1133,Bristol ,Rhode Island,Total Affected,662,5944,58754040
1134,Bristol ,Rhode Island,Unaffected,911,7823,87210518
1135,Newport ,Rhode Island,Zone 1,605,7635,74295049
1136,Newport ,Rhode Island,Zone 2,214,2590,22689930
1137,Newport ,Rhode Island,Zone 3,0,0,0
1138,Newport ,Rhode Island,Zone 4,0,0,0
1139,Newport ,Rhode Island,Total Affected,819,10226,96984979
1140,Newport ,Rhode Island,Unaffected,2574,33484,466588099
1141,Washington ,Rhode Island,Zone 1,571,7592,81151049
1142,Washington ,Rhode Island,Zone 2,245,2469,24994909
1143,Washington ,Rhode Island,Zone 3,0,0,0
1144,Washington ,Rhode Island,Zone 4,0,0,0
1145,Washington ,Rhode Island,Total Affected,816,10061,106145958
1146,Washington ,Rhode Island,Unaffected,3707,47033,549967974
1147,Statewide,South Carolina,Zone 1,2559,36591,448988139
1148,Statewide,South Carolina,Zone 2,5736,82769,956931919
1149,Statewide,South Carolina,Zone 3,3464,52985,629923621
1150,Statewide,South Carolina,Zone 4,2553,36070,354132540
1151,Statewide,South Carolina,Total Affected,14312,208415,2389976219
1152,Statewide,South Carolina,Unaffected,126803,1921025,21570960541
1153,Beaufort ,South Carolina,Zone 1,642,8235,73778989
1154,Beaufort ,South Carolina,Zone 2,1447,15926,146627099
1155,Beaufort ,South Carolina,Zone 3,707,6796,62227883
1156,Beaufort ,South Carolina,Zone 4,560,5853,51231820
1157,Beaufort ,South Carolina,Total Affected,3356,36810,333865791
1158,Beaufort ,South Carolina,Unaffected,2846,33323,346765872
1159,Charleston ,South Carolina,Zone 1,1737,26464,361684844
1160,Charleston ,South Carolina,Zone 2,4080,62273,773544281
1161,Charleston ,South Carolina,Zone 3,2305,38679,510766111
1162,Charleston ,South Carolina,Zone 4,1354,17960,182111333
1163,Charleston ,South Carolina,Total Affected,9476,145376,1828106569
1164,Charleston ,South Carolina,Unaffected,7660,115754,1447017931
1165,Georgetown ,South Carolina,Zone 1,114,839,5905342
1166,Georgetown ,South Carolina,Zone 2,96,2210,21527924
1167,Georgetown ,South Carolina,Zone 3,243,2648,22761649
1168,Georgetown ,South Carolina,Zone 4,388,7433,88069486
1169,Georgetown ,South Carolina,Total Affected,841,13130,138264401
1170,Georgetown ,South Carolina,Unaffected,1067,11454,109719070
1171,Horry ,South Carolina,Zone 1,66,1054,7618964
1172,Horry ,South Carolina,Zone 2,113,2360,15232615
1173,Horry ,South Carolina,Zone 3,209,4861,34167978
1174,Horry ,South Carolina,Zone 4,251,4823,32719901
1175,Horry ,South Carolina,Total Affected,639,13098,89739458
1176,Horry ,South Carolina,Unaffected,9172,125781,1102192571
1177,Statewide,Texas,Zone 1,938,21503,331173234
1178,Statewide,Texas,Zone 2,2043,44772,635469295
1179,Statewide,Texas,Zone 3,7880,196434,3059097202
1180,Statewide,Texas,Zone 4,6000,132499,2049730319
1181,Statewide,Texas,Total Affected,16861,395208,6075470050
1182,Statewide,Texas,Unaffected,696592,12182960,175226799589
1183,Brazoria ,Texas,Zone 1,75,1276,27018253
1184,Brazoria ,Texas,Zone 2,152,5121,100851910
1185,Brazoria ,Texas,Zone 3,1005,25263,407566412
1186,Brazoria ,Texas,Zone 4,266,3947,43128793
1187,Brazoria ,Texas,Total Affected,1498,35608,578565368
1188,Brazoria ,Texas,Unaffected,4650,80581,1075915581
1189,Chambers ,Texas,Zone 1,(1),(1),(1)
1190,Chambers ,Texas,Zone 2,(1),(1),(1)
1191,Chambers ,Texas,Zone 3,(1),(1),(1)
1192,Chambers ,Texas,Zone 4,(1),(1),(1)
1193,Chambers ,Texas,Total Affected,290,5608,105408605
1194,Chambers ,Texas,Unaffected,466,12097,186727831
1195,Galveston ,Texas,Zone 1,494,9336,101782477
1196,Galveston ,Texas,Zone 2,421,7328,66921574
1197,Galveston ,Texas,Zone 3,1975,52392,747360657
1198,Galveston ,Texas,Zone 4,1116,17040,188530126
1199,Galveston ,Texas,Total Affected,4006,86096,1104594834
1200,Galveston ,Texas,Unaffected,2336,24732,276955613
1201,Hardin ,Texas,Zone 1,(1),(1),(1)
1202,Hardin ,Texas,Zone 2,(1),(1),(1)
1203,Hardin ,Texas,Zone 3,(1),(1),(1)
1204,Hardin ,Texas,Zone 4,(1),(1),(1)
1205,Hardin ,Texas,Total Affected,27,125,1545351
1206,Hardin ,Texas,Unaffected,893,12662,137343464
1207,Harris ,Texas,Zone 1,61,1138,20283062
1208,Harris ,Texas,Zone 2,92,2494,48854440
1209,Harris ,Texas,Zone 3,1600,47854,907243306
1210,Harris ,Texas,Zone 4,3262,85846,1501097586
1211,Harris ,Texas,Total Affected,5015,137333,2477478394
1212,Harris ,Texas,Unaffected,112858,2210447,37665218273
1213,Jasper ,Texas,Zone 1,(1),(1),(1)
1214,Jasper ,Texas,Zone 2,(1),(1),(1)
1215,Jasper ,Texas,Zone 3,(1),(1),(1)
1216,Jasper ,Texas,Zone 4,(1),(1),(1)
1217,Jasper ,Texas,Total Affected,(1),(1),(1)
1218,Jasper ,Texas,Unaffected,(1),(1),(1)
1219,Jefferson ,Texas,Zone 1,293,9535,180263391
1220,Jefferson ,Texas,Zone 2,679,18446,253512907
1221,Jefferson ,Texas,Zone 3,2843,62151,842611499
1222,Jefferson ,Texas,Zone 4,855,18085,235952456
1223,Jefferson ,Texas,Total Affected,4670,108217,1512340253
1224,Jefferson ,Texas,Unaffected,1216,13824,208144710
1225,Liberty ,Texas,Zone 1,(1),(1),(1)
1226,Liberty ,Texas,Zone 2,(1),(1),(1)
1227,Liberty ,Texas,Zone 3,(1),(1),(1)
1228,Liberty ,Texas,Zone 4,(1),(1),(1)
1229,Liberty ,Texas,Total Affected,107,2050,26211473
1230,Liberty ,Texas,Unaffected,1108,16319,189400639
1231,Matagorda ,Texas,Zone 1,(1),(1),(1)
1232,Matagorda ,Texas,Zone 2,(1),(1),(1)
1233,Matagorda ,Texas,Zone 3,(1),(1),(1)
1234,Matagorda ,Texas,Zone 4,(1),(1),(1)
1235,Matagorda ,Texas,Total Affected,120,868,6117994
1236,Matagorda ,Texas,Unaffected,729,9868,132452264
1237,Newton ,Texas,Zone 1,(1),(1),(1)
1238,Newton ,Texas,Zone 2,(1),(1),(1)
1239,Newton ,Texas,Zone 3,(1),(1),(1)
1240,Newton ,Texas,Zone 4,(1),(1),(1)
1241,Newton ,Texas,Total Affected,(1),(1),(1)
1242,Newton ,Texas,Unaffected,(1),(1),(1)
1243,Orange ,Texas,Zone 1,(1),(1),(1)
1244,Orange ,Texas,Zone 2,(1),(1),(1)
1245,Orange ,Texas,Zone 3,(1),(1),(1)
1246,Orange ,Texas,Zone 4,(1),(1),(1)
1247,Orange ,Texas,Total Affected,1119,19205,261431924
1248,Orange ,Texas,Unaffected,293,3434,40193909
1249,Statewide,Virginia,Zone 1,987,21344,238034406
1250,Statewide,Virginia,Zone 2,3591,72527,1004413608
1251,Statewide,Virginia,Zone 3,6245,106281,1243298508
1252,Statewide,Virginia,Zone 4,7911,155539,1879600151
1253,Statewide,Virginia,Total Affected,18734,355692,4365346673
1254,Statewide,Virginia,Unaffected,260909,3579940,53193410709
1255,Accomack ,Virginia,Zone 1,(1),(1),(1)
1256,Accomack ,Virginia,Zone 2,(1),(1),(1)
1257,Accomack ,Virginia,Zone 3,(1),(1),(1)
1258,Accomack ,Virginia,Zone 4,(1),(1),(1)
1259,Accomack ,Virginia,Total Affected,245,1784,11355641
1260,Accomack ,Virginia,Unaffected,883,11673,124500304
1261,Arlington ,Virginia,Zone 1,(1),(1),(1)
1262,Arlington ,Virginia,Zone 2,(1),(1),(1)
1263,Arlington ,Virginia,Zone 3,(1),(1),(1)
1264,Arlington ,Virginia,Zone 4,(1),(1),(1)
1265,Arlington ,Virginia,Total Affected,48,1435,34810062
1266,Arlington ,Virginia,Unaffected,9033,182318,4130413956
1267,Fairfax ,Virginia,Zone 1,(1),(1),(1)
1268,Fairfax ,Virginia,Zone 2,(1),(1),(1)
1269,Fairfax ,Virginia,Zone 3,(1),(1),(1)
1270,Fairfax ,Virginia,Zone 4,(1),(1),(1)
1271,Fairfax ,Virginia,Total Affected,192,1800,24578913
1272,Fairfax ,Virginia,Unaffected,36455,620930,13344272605
1273,Gloucester ,Virginia,Zone 1,(1),(1),(1)
1274,Gloucester ,Virginia,Zone 2,(1),(1),(1)
1275,Gloucester ,Virginia,Zone 3,(1),(1),(1)
1276,Gloucester ,Virginia,Zone 4,(1),(1),(1)
1277,Gloucester ,Virginia,Total Affected,154,962,7687651
1278,Gloucester ,Virginia,Unaffected,859,8553,79036465
1279,Isle of Wight ,Virginia,Zone 1,(1),(1),(1)
1280,Isle of Wight ,Virginia,Zone 2,(1),(1),(1)
1281,Isle of Wight ,Virginia,Zone 3,(1),(1),(1)
1282,Isle of Wight ,Virginia,Zone 4,(1),(1),(1)
1283,Isle of Wight ,Virginia,Total Affected,54,950,18529002
1284,Isle of Wight ,Virginia,Unaffected,794,9831,96170627
1285,King George ,Virginia,Zone 1,(1),(1),(1)
1286,King George ,Virginia,Zone 2,(1),(1),(1)
1287,King George ,Virginia,Zone 3,(1),(1),(1)
1288,King George ,Virginia,Zone 4,(1),(1),(1)
1289,King George ,Virginia,Total Affected,80,6363,156152955
1290,King George ,Virginia,Unaffected,541,5766,67822672
1291,Lancaster ,Virginia,Zone 1,(1),(1),(1)
1292,Lancaster ,Virginia,Zone 2,(1),(1),(1)
1293,Lancaster ,Virginia,Zone 3,(1),(1),(1)
1294,Lancaster ,Virginia,Zone 4,(1),(1),(1)
1295,Lancaster ,Virginia,Total Affected,72,574,5247211
1296,Lancaster ,Virginia,Unaffected,414,4169,37303796
1297,Mathews ,Virginia,Zone 1,(1),(1),(1)
1298,Mathews ,Virginia,Zone 2,(1),(1),(1)
1299,Mathews ,Virginia,Zone 3,(1),(1),(1)
1300,Mathews ,Virginia,Zone 4,(1),(1),(1)
1301,Mathews ,Virginia,Total Affected,140,1200,8680986
1302,Mathews ,Virginia,Unaffected,83,351,2662223
1303,Middlesex ,Virginia,Zone 1,(1),(1),(1)
1304,Middlesex ,Virginia,Zone 2,(1),(1),(1)
1305,Middlesex ,Virginia,Zone 3,(1),(1),(1)
1306,Middlesex ,Virginia,Zone 4,(1),(1),(1)
1307,Middlesex ,Virginia,Total Affected,30,231,1908230
1308,Middlesex ,Virginia,Unaffected,362,3196,27305499
1309,Northampton ,Virginia,Zone 1,(1),(1),(1)
1310,Northampton ,Virginia,Zone 2,(1),(1),(1)
1311,Northampton ,Virginia,Zone 3,(1),(1),(1)
1312,Northampton ,Virginia,Zone 4,(1),(1),(1)
1313,Northampton ,Virginia,Total Affected,77,630,7086359
1314,Northampton ,Virginia,Unaffected,523,4204,31378150
1315,Northumberland ,Virginia,Zone 1,(1),(1),(1)
1316,Northumberland ,Virginia,Zone 2,(1),(1),(1)
1317,Northumberland ,Virginia,Zone 3,(1),(1),(1)
1318,Northumberland ,Virginia,Zone 4,(1),(1),(1)
1319,Northumberland ,Virginia,Total Affected,47,521,7267546
1320,Northumberland ,Virginia,Unaffected,328,2140,23722343
1321,Prince William ,Virginia,Zone 1,(1),(1),(1)
1322,Prince William ,Virginia,Zone 2,(1),(1),(1)
1323,Prince William ,Virginia,Zone 3,(1),(1),(1)
1324,Prince William ,Virginia,Zone 4,(1),(1),(1)
1325,Prince William ,Virginia,Total Affected,133,1695,18984544
1326,Prince William ,Virginia,Unaffected,9420,131612,1644335061
1327,Richmond ,Virginia,Zone 1,(1),(1),(1)
1328,Richmond ,Virginia,Zone 2,(1),(1),(1)
1329,Richmond ,Virginia,Zone 3,(1),(1),(1)
1330,Richmond ,Virginia,Zone 4,(1),(1),(1)
1331,Richmond ,Virginia,Total Affected,(1),(1),(1)
1332,Richmond ,Virginia,Unaffected,(1),(1),(1)
1333,Stafford ,Virginia,Zone 1,(1),(1),(1)
1334,Stafford ,Virginia,Zone 2,(1),(1),(1)
1335,Stafford ,Virginia,Zone 3,(1),(1),(1)
1336,Stafford ,Virginia,Zone 4,(1),(1),(1)
1337,Stafford ,Virginia,Total Affected,(1),(1),(1)
1338,Stafford ,Virginia,Unaffected,(1),(1),(1)
1339,Surry ,Virginia,Zone 1,(1),(1),(1)
1340,Surry ,Virginia,Zone 2,(1),(1),(1)
1341,Surry ,Virginia,Zone 3,(1),(1),(1)
1342,Surry ,Virginia,Zone 4,(1),(1),(1)
1343,Surry ,Virginia,Total Affected,(1),(1),(1)
1344,Surry ,Virginia,Unaffected,(1),(1),(1)
1345,Westmoreland ,Virginia,Zone 1,(1),(1),(1)
1346,Westmoreland ,Virginia,Zone 2,(1),(1),(1)
1347,Westmoreland ,Virginia,Zone 3,(1),(1),(1)
1348,Westmoreland ,Virginia,Zone 4,(1),(1),(1)
1349,Westmoreland ,Virginia,Total Affected,61,688,5270082
1350,Westmoreland ,Virginia,Unaffected,350,2801,22182175
1351,York ,Virginia,Zone 1,(1),(1),(1)
1352,York ,Virginia,Zone 2,(1),(1),(1)
1353,York ,Virginia,Zone 3,(1),(1),(1)
1354,York ,Virginia,Zone 4,(1),(1),(1)
1355,York ,Virginia,Total Affected,226,1447,15064048
1356,York ,Virginia,Unaffected,1376,20312,204219860
1357,Alexandria  ,Virginia,Zone 1,35,824,12339737
1358,Alexandria  ,Virginia,Zone 2,126,1208,22532759
1359,Alexandria  ,Virginia,Zone 3,229,3712,76115443
1360,Alexandria  ,Virginia,Zone 4,383,6197,126869333
1361,Alexandria  ,Virginia,Total Affected,773,11941,237857272
1362,Alexandria  ,Virginia,Unaffected,5417,78361,1529492940
1363,Chesapeake  ,Virginia,Zone 1,115,2993,39438764
1364,Chesapeake  ,Virginia,Zone 2,322,4001,48735179
1365,Chesapeake  ,Virginia,Zone 3,727,9903,94973359
1366,Chesapeake  ,Virginia,Zone 4,1205,23057,241519150
1367,Chesapeake  ,Virginia,Total Affected,2369,39953,424666452
1368,Chesapeake  ,Virginia,Unaffected,3828,61764,712142890
1369,Newport News  ,Virginia,Zone 1,(1),(1),(1)
1370,Newport News  ,Virginia,Zone 2,(1),(1),(1)
1371,Newport News  ,Virginia,Zone 3,(1),(1),(1)
1372,Newport News  ,Virginia,Zone 4,(1),(1),(1)
1373,Newport News  ,Virginia,Total Affected,296,4634,50529095
1374,Newport News  ,Virginia,Unaffected,3616,98627,1317520983
1375,Norfolk  ,Virginia,Zone 1,191,9709,99961935
1376,Norfolk  ,Virginia,Zone 2,1158,25321,342888696
1377,Norfolk  ,Virginia,Zone 3,2122,48566,594314624
1378,Norfolk  ,Virginia,Zone 4,1061,26004,378752233
1379,Norfolk  ,Virginia,Total Affected,4532,109600,1415917488
1380,Norfolk  ,Virginia,Unaffected,1523,30276,516790114
1381,Portsmouth  ,Virginia,Zone 1,24,335,4167477
1382,Portsmouth  ,Virginia,Zone 2,423,22444,339817550
1383,Portsmouth  ,Virginia,Zone 3,630,12445,140447255
1384,Portsmouth  ,Virginia,Zone 4,358,4471,38463955
1385,Portsmouth  ,Virginia,Total Affected,1435,39694,522896237
1386,Portsmouth  ,Virginia,Unaffected,395,4042,58434903
1387,Virginia Beach  ,Virginia,Zone 1,239,4023,48939848
1388,Virginia Beach  ,Virginia,Zone 2,1072,15163,197501480
1389,Virginia Beach  ,Virginia,Zone 3,2092,26489,282492278
1390,Virginia Beach  ,Virginia,Zone 4,4340,83775,860241885
1391,Virginia Beach  ,Virginia,Total Affected,7743,129450,1389175491
1392,Virginia Beach  ,Virginia,Unaffected,4525,50728,539174151
1393,"Note: Flood zones represent a conservative estimation of areas that would experience flooding in the event of a hurricane. Zone 1 is the area that would be flooded by a Category I hurricane. A Category II hurricane would cause flooding in Zones 1 and 2. The hurricane categories reference the Saffir-Simpson Hurricane Scale.

Footnote:
(1): Data do not meet BLS or state agency disclosure standards
",,,,,
